"expc","educ","ypc","sexo"
287,"6",508476,"2"
90,"3",140888,"1"
110,"5",203333,"1"
256,"3",320323,"2"
134,"2",183910,"1"
96,"5",238947,"2"
168,"6",423125,"1"
115,"0",127323,"1"
31,"3",175818,"2"
464,"7",161637,"2"
104,"8",250000,"2"
124,"1",110349,"2"
40,"3",112340,"1"
45,"2",335538,"1"
287,"2",211700,"2"
68,"5",398333,"1"
135,"5",86176,"2"
100,"11",1405000,"2"
404,"5",366248,"2"
344,"3",685556,"2"
36,"5",214960,"2"
46,"2",184311,"2"
287,"2",191654,"2"
105,"1",270000,"1"
34,"3",372323,"2"
161,"3",166042,"1"
290,"8",192639,"1"
29,"1",80000,"1"
119,"6",94771,"2"
221,"3",806834,"2"
1413,"6",187761,"2"
90,"5",246667,"2"
135,"0",50000,"1"
41,"1",107394,"2"
109,"1",326997,"2"
72,"3",87552,"1"
523,"3",392466,"2"
141,"9",108815,"2"
139,"1",366667,"1"
156,"5",445000,"2"
145,"5",218898,"2"
86,"8",533333,"1"
500,"6",78750,"2"
77,"2",133871,"2"
58,"2",73801,"2"
109,"3",205000,"2"
348,"1",203690,"2"
40,"12",578334,"1"
132,"3",490584,"2"
117,"6",138583,"1"
74,"11",2e+05,"2"
202,"11",379584,"1"
172,"11",1650000,"1"
75,"0",135096,"2"
65,"0",177323,"1"
649,"3",595700,"2"
101,"5",231269,"2"
83,"2",225289,"1"
34,"1",207868,"2"
77,"1",494546,"2"
196,"2",215539,"2"
133,"6",81804,"2"
337,"7",281510,"2"
326,"0",222524,"1"
86,"1",135743,"2"
152,"11",2316945,"2"
129,"0",248749,"1"
31,"0",145878,"1"
140,"8",296250,"2"
215,"5",103070,"2"
77,"1",140744,"1"
1086,"5",702875,"2"
78,"1",172352,"2"
62,"3",223912,"2"
109,"1",1955667,"1"
168,"1",898869,"2"
71,"1",135311,"2"
170,"5",134846,"2"
65,"0",118540,"2"
348,"5",203690,"2"
61,"7",110000,"2"
113,"3",124223,"2"
56,"6",406667,"2"
67,"6",112000,"2"
41,"12",2175334,"1"
182,"5",211072,"1"
123,"7",490000,"2"
184,"0",175000,"2"
159,"7",526003,"1"
50,"7",211052,"2"
350,"9",250000,"2"
135,"1",210000,"2"
134,"3",396111,"2"
125,"2",231500,"1"
269,"9",320012,"2"
188,"2",87778,"1"
83,"4",103183,"1"
58,"5",253215,"2"
130,"8",469584,"2"
292,"6",212000,"1"
177,"5",363333,"1"
60,"1",131185,"1"
286,"3",313662,"1"
63,"11",295910,"1"
106,"8",234495,"2"
163,"9",1140333,"2"
184,"6",466667,"2"
60,"1",153092,"2"
355,"2",530000,"1"
54,"1",132290,"2"
405,"11",375500,"2"
74,"3",231046,"2"
49,"11",134278,"2"
20,"1",206081,"2"
